Volume,Volume Weighted,Open Price,Close Price,Highest Price,Lowest Price,Timestamp,Number of Transaction,Stock Name
2857.0,511.2192,511.41,511.36,511.41,511.0,2024-03-18 08:00:00,65,SPY
1772.0,511.2107,511.31,511.22,511.31,511.16,2024-03-18 08:05:00,36,SPY
504.0,511.2886,511.3,511.28,511.3,511.28,2024-03-18 08:10:00,3,SPY
203.0,511.2706,511.27,511.27,511.27,511.27,2024-03-18 08:15:00,3,SPY
106.0,511.1701,511.17,511.17,511.17,511.17,2024-03-18 08:20:00,3,SPY
869.0,510.928,510.76,510.99,510.99,510.76,2024-03-18 08:30:00,13,SPY
351.0,511.0501,511.05,511.05,511.05,511.05,2024-03-18 08:40:00,5,SPY
421.0,511.217,511.16,511.29,511.29,511.16,2024-03-18 08:45:00,10,SPY
1592.0,511.4191,511.38,511.56,511.56,511.32,2024-03-18 08:50:00,14,SPY
829.0,511.6495,511.57,511.7,511.7,511.57,2024-03-18 08:55:00,12,SPY
1421.0,511.8116,511.81,511.8,511.89,511.8,2024-03-18 09:00:00,12,SPY
1002.0,511.7382,511.82,511.72,511.82,511.72,2024-03-18 09:05:00,5,SPY
501.0,511.658,511.63,511.7,511.7,511.63,2024-03-18 09:10:00,3,SPY
1064.0,511.3504,511.35,511.37,511.37,511.35,2024-03-18 09:20:00,7,SPY
109.0,511.5454,511.55,511.55,511.55,511.55,2024-03-18 09:25:00,4,SPY
203.0,511.461,511.46,511.46,511.46,511.46,2024-03-18 09:30:00,3,SPY
722.0,511.6694,511.63,511.7,511.73,511.63,2024-03-18 09:40:00,11,SPY
748.0,511.6082,511.68,511.58,511.68,511.58,2024-03-18 09:45:00,25,SPY
1275.0,511.5843,511.56,511.6,511.6,511.56,2024-03-18 10:00:00,34,SPY
862.0,511.5248,511.57,511.51,511.57,511.51,2024-03-18 10:05:00,7,SPY
449.0,511.5423,511.45,511.6,511.6,511.45,2024-03-18 10:10:00,8,SPY
102.0,511.65,511.65,511.65,511.65,511.65,2024-03-18 10:15:00,3,SPY
468.0,511.6075,511.62,511.61,511.62,511.6,2024-03-18 10:20:00,6,SPY
1370.0,511.6315,511.6,511.62,511.66,511.6,2024-03-18 10:25:00,8,SPY
1077.0,511.7182,511.75,511.64,511.75,511.64,2024-03-18 10:30:00,10,SPY
2781.0,511.6572,511.65,511.62,511.68,511.62,2024-03-18 10:35:00,16,SPY
1925.0,511.8457,511.74,511.87,511.91,511.74,2024-03-18 10:40:00,14,SPY
211.0,511.8958,511.9,511.9,511.9,511.9,2024-03-18 10:45:00,3,SPY
1301.0,511.8177,511.81,511.85,511.85,511.8,2024-03-18 10:50:00,7,SPY
520.0,511.7473,511.73,511.77,511.77,511.73,2024-03-18 10:55:00,3,SPY
32137.0,511.6468,511.77,511.77,511.8,511.47,2024-03-18 11:00:00,202,SPY
9947.0,511.8641,511.771,511.92,511.92,511.771,2024-03-18 11:05:00,73,SPY
13651.0,512.0203,511.9,512.15,512.15,511.9,2024-03-18 11:10:00,126,SPY
33427.0,512.1936,512.19,512.25,512.34,512.15,2024-03-18 11:15:00,139,SPY
19648.0,512.5527,512.29,512.57,512.63,512.29,2024-03-18 11:20:00,136,SPY
30728.0,512.7864,512.63,512.87,512.91,512.62,2024-03-18 11:25:00,187,SPY
45236.0,513.1387,512.87,513.17,513.24,512.87,2024-03-18 11:30:00,261,SPY
34191.0,513.0344,513.14,513.011,513.19,513.0,2024-03-18 11:35:00,180,SPY
6930.0,513.1415,513.02,513.26,513.26,513.02,2024-03-18 11:40:00,76,SPY
18547.0,513.3946,513.32,513.37,513.52,513.32,2024-03-18 11:45:00,113,SPY
18662.0,513.3437,513.4,513.31,513.54,513.23,2024-03-18 11:50:00,92,SPY
4618.0,513.3195,513.26,513.34,513.36,513.251,2024-03-18 11:55:00,42,SPY
89940.0,513.1899,512.07,511.1,513.91,510.92,2024-03-18 12:00:00,1224,SPY
33636.0,513.6887,513.7899,513.85,513.93,510.9,2024-03-18 12:05:00,319,SPY
53148.0,513.8983,513.81,513.9,513.99,513.791,2024-03-18 12:10:00,291,SPY
18996.0,513.8135,513.94,513.75,513.94,513.75,2024-03-18 12:15:00,158,SPY
30382.0,513.644,513.71,513.699,513.75,513.58,2024-03-18 12:20:00,251,SPY
22922.0,513.6895,513.67,513.81,513.81,513.59,2024-03-18 12:25:00,241,SPY
94212.0,511.6558,513.82,513.47,513.82,509.83,2024-03-18 12:30:00,367,SPY
22914.0,513.4963,513.45,513.59,513.6,513.42,2024-03-18 12:35:00,325,SPY
8937.0,513.4565,513.52,513.47,513.52,513.43,2024-03-18 12:40:00,193,SPY
53352.0,513.4651,513.46,513.41,513.52,513.41,2024-03-18 12:45:00,394,SPY
27249.0,513.4477,513.45,513.4,513.53,513.38,2024-03-18 12:50:00,294,SPY
19765.0,513.4645,513.44,513.49,513.52,513.44,2024-03-18 12:55:00,258,SPY
39717.0,513.5795,513.52,513.57,513.66,513.52,2024-03-18 13:00:00,308,SPY
57825.0,513.5411,513.55,513.59,513.61,513.49,2024-03-18 13:05:00,228,SPY
7746.0,513.6786,513.59,513.69,513.74,513.59,2024-03-18 13:10:00,158,SPY
23093.0,513.7971,513.69,513.65,513.84,513.65,2024-03-18 13:15:00,307,SPY
11279.0,513.639,513.68,513.65,513.7,513.57,2024-03-18 13:20:00,214,SPY
148152.0,513.7856,513.7,513.98,514.09,513.61,2024-03-18 13:25:00,789,SPY
